N,M,sparsity,naive_time,blas_time,opt_time,naive_speedup,blas_speedup
50,50,0.01,18458,164666,5709,3.23314,28.8432
100,50,0.00666667,36917,8458,7750,4.76348,1.09135
200,50,0.004,61458,13333,10709,5.73891,1.24503
300,50,0.00285714,91958,14291,13791,6.66797,1.03626
400,50,0.00222222,118167,15625,15959,7.40441,0.979071
500,50,0.00181818,141416,20834,18250,7.74882,1.14159
600,50,0.00153846,178167,21417,23917,7.44939,0.895472
700,50,0.00133333,208541,24500,24291,8.58511,1.0086
800,50,0.00117647,233584,28708,27917,8.36709,1.02833
900,50,0.00105263,269041,31250,30042,8.9555,1.04021
1000,50,0.000952381,300375,33416,32750,9.17176,1.02034
1500,50,0.000645161,442667,66750,47875,9.24631,1.39426
2000,50,0.000487805,541375,73917,59750,9.06067,1.2371
50,100,0.00666667,31250,4000,6625,4.71698,0.603774
50,200,0.004,57083,6375,9833,5.80525,0.648327
50,300,0.00285714,81584,9833,8750,9.32389,1.12377
50,400,0.00222222,103416,12334,9542,10.838,1.2926
50,500,0.00181818,127500,15042,10250,12.439,1.46751
50,600,0.00153846,158750,19083,11459,13.8537,1.66533
50,700,0.00133333,174125,19541,11583,15.0328,1.68704
50,800,0.00117647,198417,20917,12125,16.3643,1.72511
50,900,0.00105263,237625,25875,13917,17.0744,1.85924
50,1000,0.000952381,258834,28666,14584,17.7478,1.96558
50,1500,0.000645161,396083,42584,19667,20.1395,2.16525
50,2000,0.000487805,493875,50167,23042,21.4337,2.1772
100,100,0.005,57667,5958,10500,5.4921,0.567429
200,200,0.0025,198917,17292,12125,16.4055,1.42614
300,300,0.00166667,438167,38333,20083,21.8178,1.90873
400,400,0.00125,810417,124125,33542,24.1613,3.70058
500,500,0.001,1165375,200791,25584,45.5509,7.8483
600,600,0.000833333,1715541,280209,30500,56.2472,9.18718
700,700,0.000714286,2401833,765291,34917,68.7869,21.9174
800,800,0.000625,3027334,451750,45833,66.0514,9.85644
900,900,0.000555556,3842292,644125,46458,82.7046,13.8647
1000,1000,0.0005,4625375,584500,50375,91.8189,11.603
1500,1500,0.000333333,10590167,6118208,76709,138.056,79.7587
1000,1000,0.01,4797583,426958,178459,26.8834,2.39247
1000,1000,0.005,4776250,389500,144875,32.9681,2.68852
1000,1000,0.001,4792417,394667,98542,48.6332,4.00506
1000,1000,0.0005,4977000,1822916,100334,49.6043,18.1685
1000,1000,0.0001,4859500,350916,87500,55.5371,4.01047
