N,M,sparsity,naive_time,blas_time,opt_time,naive_speedup,blas_speedup,opt_speedup
10,100,0.00909091,31958,2666,4667,1,11.99,6.85
20,100,0.00833333,18292,6042,5000,1,3.03,3.66
30,100,0.00769231,24583,5542,5459,1,4.44,4.5
40,100,0.00714286,31709,8875,5917,1,3.57,5.36
50,100,0.00666667,38166,9167,6167,1,4.16,6.19
60,100,0.00625,44292,16584,6500,1,2.67,6.81
70,100,0.00588235,52333,10125,7166,1,5.17,7.3
80,100,0.00555556,58541,36209,7583,1,1.62,7.72
90,100,0.00526316,64958,10000,7833,1,6.5,8.29
100,100,0.005,79208,10375,9125,1,7.63,8.68
110,100,0.0047619,85166,11625,9958,1,7.33,8.55
120,100,0.00454545,92750,11042,10125,1,8.4,9.16
130,100,0.00434783,102875,11083,10500,1,9.28,9.8
140,100,0.00416667,109625,13000,11000,1,8.43,9.97
150,100,0.004,128334,29417,15000,1,4.36,8.56
160,100,0.00384615,124000,13458,12083,1,9.21,10.26
170,100,0.0037037,130833,14000,12125,1,9.35,10.79
180,100,0.00357143,199916,14250,12000,1,14.03,16.66
190,100,0.00344828,209250,21417,17791,1,9.77,11.76
200,100,0.00333333,151750,15167,12375,1,10.01,12.26
210,100,0.00322581,158083,16042,12792,1,9.85,12.36
220,100,0.003125,184792,17958,14542,1,10.29,12.71
230,100,0.0030303,191792,19042,14958,1,10.07,12.82
240,100,0.00294118,201166,18834,15167,1,10.68,13.26
250,100,0.00285714,207666,22667,18167,1,9.16,11.43
260,100,0.00277778,223125,22042,20292,1,10.12,11
270,100,0.0027027,228375,25500,17208,1,8.96,13.27
280,100,0.00263158,235833,34542,17167,1,6.83,13.74
290,100,0.0025641,244042,22084,71041,1,11.05,3.44
300,100,0.0025,244083,22667,16292,1,10.77,14.98
310,100,0.00243902,232375,21959,16375,1,10.58,14.19
320,100,0.00238095,239292,21541,16542,1,11.11,14.47
330,100,0.00232558,250417,23458,17083,1,10.68,14.66
340,100,0.00227273,245042,27458,19625,1,8.92,12.49
350,100,0.00222222,239125,22958,17125,1,10.42,13.96
360,100,0.00217391,244625,21417,17083,1,11.42,14.32
370,100,0.00212766,231792,21542,15458,1,10.76,14.99
