N,M,sparsity,naive_time,blas_time,opt_time,naive_speedup,blas_speedup,opt_speedup
10,100,0.00909091,27750,2417,10041,1,11.48,2.76
20,100,0.00833333,16000,7917,15750,1,2.02,1.02
30,100,0.00769231,23625,7042,7292,1,3.35,3.24
40,100,0.00714286,28708,6000,6541,1,4.78,4.39
50,100,0.00666667,33958,6959,6750,1,4.88,5.03
60,100,0.00625,50541,6167,7375,1,8.2,6.85
70,100,0.00588235,45583,6625,7417,1,6.88,6.15
80,100,0.00555556,52084,7041,7542,1,7.4,6.91
90,100,0.00526316,200250,17042,15542,1,11.75,12.88
100,100,0.005,64458,9083,10167,1,7.1,6.34
110,100,0.0047619,67583,8542,8917,1,7.91,7.58
120,100,0.00454545,74042,9208,8958,1,8.04,8.27
130,100,0.00434783,80708,9666,9375,1,8.35,8.61
140,100,0.00416667,93875,11708,10667,1,8.02,8.8
150,100,0.004,97959,17583,10666,1,5.57,9.18
160,100,0.00384615,187459,14500,11833,1,12.93,15.84
170,100,0.0037037,167917,21417,18250,1,7.84,9.2
180,100,0.00357143,122750,13250,11417,1,9.26,10.75
190,100,0.00344828,121750,15417,25250,1,7.9,4.82
200,100,0.00333333,130750,15834,12959,1,8.26,10.09
210,100,0.00322581,148917,18166,13666,1,8.2,10.9
220,100,0.003125,227834,22959,20042,1,9.92,11.37
230,100,0.0030303,146959,16000,13292,1,9.18,11.06
240,100,0.00294118,153417,16084,13292,1,9.54,11.54
250,100,0.00285714,210666,22083,17416,1,9.54,12.1
260,100,0.00277778,168958,17334,13292,1,9.75,12.71
270,100,0.0027027,232125,21541,17458,1,10.78,13.3
280,100,0.00263158,195250,18958,14500,1,10.3,13.47
290,100,0.0025641,221125,22500,17333,1,9.83,12.76
300,100,0.0025,236250,21959,15209,1,10.76,15.53
310,100,0.00243902,215375,20125,15500,1,10.7,13.9
320,100,0.00238095,440500,28916,26667,1,15.23,16.52
330,100,0.00232558,232166,22167,17208,1,10.47,13.49
340,100,0.00227273,236167,19542,16542,1,12.09,14.28
350,100,0.00222222,225209,24917,16542,1,9.04,13.61
360,100,0.00217391,228167,22875,15291,1,9.97,14.92
370,100,0.00212766,234708,24166,15791,1,9.71,14.86
380,100,0.00208333,242458,24083,15792,1,10.07,15.35
390,100,0.00204082,248791,21333,15916,1,11.66,15.63
400,100,0.002,249708,22708,16750,1,11,14.91
410,100,0.00196078,256875,25291,17708,1,10.16,14.51
420,100,0.00192308,272333,23583,20916,1,11.55,13.02
430,100,0.00188679,268625,25542,19000,1,10.52,14.14
440,100,0.00185185,277833,26291,17458,1,10.57,15.91
450,100,0.00181818,286708,25375,17500,1,11.3,16.38
460,100,0.00178571,289667,26208,18291,1,11.05,15.84
470,100,0.00175439,291209,26041,18541,1,11.18,15.71
480,100,0.00172414,302458,27708,19833,1,10.92,15.25
490,100,0.00169492,346417,29000,20625,1,11.95,16.8
500,100,0.00166667,335042,29125,21000,1,11.5,15.95
510,100,0.00163934,351458,30542,21708,1,11.51,16.19
520,100,0.0016129,361666,30625,24584,1,11.81,14.71
530,100,0.0015873,367500,30833,22500,1,11.92,16.33
540,100,0.0015625,370208,33584,22708,1,11.02,16.3
550,100,0.00153846,382583,33750,22375,1,11.34,17.1
560,100,0.00151515,387041,34333,22375,1,11.27,17.3
570,100,0.00149254,396500,33208,23334,1,11.94,16.99
580,100,0.00147059,404208,34792,23458,1,11.62,17.23
590,100,0.00144928,402417,33583,23167,1,11.98,17.37
600,100,0.00142857,416959,34750,24750,1,12,16.85
610,100,0.00140845,448083,34125,23959,1,13.13,18.7
620,100,0.00138889,426667,36459,28917,1,11.7,14.75
630,100,0.00136986,435500,38042,25542,1,11.45,17.05
640,100,0.00135135,445209,37500,25291,1,11.87,17.6
650,100,0.00133333,442500,37625,25584,1,11.76,17.3
660,100,0.00131579,448542,39625,32916,1,11.32,13.63
670,100,0.0012987,486917,38959,26667,1,12.5,18.26
680,100,0.00128205,463958,40625,27375,1,11.42,16.95
690,100,0.00126582,519167,44834,31917,1,11.58,16.27
700,100,0.00125,477791,38917,27375,1,12.28,17.45
710,100,0.00123457,486209,42375,28916,1,11.47,16.81
720,100,0.00121951,487792,41875,28417,1,11.65,17.17
730,100,0.00120482,512291,42875,29375,1,11.95,17.44
740,100,0.00119048,533167,45084,64125,1,11.83,8.31
750,100,0.00117647,529666,43833,28916,1,12.08,18.32
760,100,0.00116279,520666,45084,28083,1,11.55,18.54
770,100,0.00114943,549917,50542,33292,1,10.88,16.52
780,100,0.00113636,578750,48208,33084,1,12.01,17.49
790,100,0.0011236,582500,50542,33208,1,11.53,17.54
800,100,0.00111111,598875,93375,33792,1,6.41,17.72
810,100,0.0010989,605333,51292,32583,1,11.8,18.58
820,100,0.00108696,744875,53875,42375,1,13.83,17.58
830,100,0.00107527,633166,58625,37584,1,10.8,16.85
840,100,0.00106383,640125,61500,39625,1,10.41,16.15
850,100,0.00105263,627875,58250,35459,1,10.78,17.71
860,100,0.00104167,646625,51792,35083,1,12.49,18.43
870,100,0.00103093,700750,61584,57375,1,11.38,12.21
880,100,0.00102041,652708,56000,36083,1,11.66,18.09
890,100,0.0010101,654708,54958,36166,1,11.91,18.1
900,100,0.001,681500,56333,35709,1,12.1,19.08
910,100,0.000990099,671541,60791,42625,1,11.05,15.75
920,100,0.000980392,712209,56250,39042,1,12.66,18.24
930,100,0.000970874,681166,56500,36791,1,12.06,18.51
940,100,0.000961538,712875,58500,42375,1,12.19,16.82
950,100,0.000952381,698000,64209,39166,1,10.87,17.82
