N,M,sparsity,naive_time,blas_time,opt_time,naive_speedup,blas_speedup,opt_speedup
1000,1000,0.25,4709917,1841541,4332125,1,2.56,1.09
1000,1000,0.193802,4695167,390667,3314166,1,12.02,1.42
1000,1000,0.150236,4762208,342375,2544084,1,13.91,1.87
1000,1000,0.116464,4666875,362959,2054791,1,12.86,2.27
1000,1000,0.0902839,4779125,383167,1519208,1,12.47,3.15
1000,1000,0.0699887,4670666,385667,1208542,1,12.11,3.86
1000,1000,0.0542557,4692583,361875,939583,1,12.97,4.99
1000,1000,0.0420594,4712208,348208,726459,1,13.53,6.49
1000,1000,0.0326047,4732083,344417,575792,1,13.74,8.22
1000,1000,0.0252754,4704750,336416,475292,1,13.98,9.9
1000,1000,0.0195937,4660791,353459,446917,1,13.19,10.43
1000,1000,0.0151891,4716584,356542,335250,1,13.23,14.07
1000,1000,0.0117747,4604375,358167,318417,1,12.86,14.46
1000,1000,0.00912784,4720959,356250,192042,1,13.25,24.58
1000,1000,0.00707597,4714417,338375,246750,1,13.93,19.11
1000,1000,0.00548534,4752834,356000,211833,1,13.35,22.44
1000,1000,0.00425227,4702250,361500,197625,1,13.01,23.79
1000,1000,0.00329639,4776000,323042,97916,1,14.78,48.78
1000,1000,0.00255538,4627083,350958,88458,1,13.18,52.31
1000,1000,0.00198095,4697917,371250,70709,1,12.65,66.44
1000,1000,0.00153565,4665250,360959,67833,1,12.92,68.78
1000,1000,0.00119044,4700458,379041,59750,1,12.4,78.67
1000,1000,0.000922839,4606459,381417,54875,1,12.08,83.94
1000,1000,0.000715391,4691500,369583,50833,1,12.69,92.29
1000,1000,0.000554576,4638709,365792,47750,1,12.68,97.15
1000,1000,0.000429911,4676667,338459,43583,1,13.82,107.3
1000,1000,0.00033327,4697416,347125,45666,1,13.53,102.86
1000,1000,0.000258353,4747875,339958,39458,1,13.97,120.33
1000,1000,0.000200277,4718459,341667,40291,1,13.81,117.11
1000,1000,0.000155256,4751042,346375,36000,1,13.72,131.97
1000,1000,0.000120356,4691750,369708,34958,1,12.69,134.21
1000,1000,9.33005e-05,4690250,344334,33875,1,13.62,138.46
1000,1000,7.23272e-05,4681875,358916,34416,1,13.04,136.04
1000,1000,5.60685e-05,4602166,373583,32791,1,12.32,140.35
1000,1000,4.34647e-05,4626875,351791,31750,1,13.15,145.73
1000,1000,3.36941e-05,4672750,348458,31459,1,13.41,148.53
1000,1000,2.61199e-05,4700625,339583,30958,1,13.84,151.84
1000,1000,2.02483e-05,4773708,381584,33458,1,12.51,142.68
1000,1000,1.56967e-05,5040083,400750,30792,1,12.58,163.68
1000,1000,1.21682e-05,4713000,340833,31416,1,13.83,150.02
1000,1000,9.43283e-06,4784791,345916,30917,1,13.83,154.76
1000,1000,7.3124e-06,4712334,343791,30833,1,13.71,152.83
1000,1000,5.66862e-06,4712375,345500,30958,1,13.64,152.22
1000,1000,4.39435e-06,4709500,339833,30958,1,13.86,152.13
1000,1000,3.40653e-06,4694292,342000,30416,1,13.73,154.34
1000,1000,2.64077e-06,4604208,359459,30500,1,12.81,150.96
1000,1000,2.04714e-06,4721791,390291,30292,1,12.1,155.88
1000,1000,1.58696e-06,4604667,345958,29833,1,13.31,154.35
1000,1000,1.23022e-06,4673959,344500,31708,1,13.57,147.41
1000,1000,9.53674e-07,4734167,355000,32667,1,13.34,144.92
